INSTRUMENT,SYMBOL    ,EXP_DATE  ,OPEN_PRICE ,HI_PRICE   ,LO_PRICE   ,CLOSE_PRICE,OPEN_INT*      ,TRD_VAL           ,TRD_QTY          ,NO_OF_CONT       ,NO_OF_TRADE      
FUTSTK    ,COALINDIA ,27/01/2026,00000427.10,00000433.35,00000424.95,00000432.75,000000050407650,     3965390707.50,          9221850,             6831,             5813
FUTSTK    ,COALINDIA ,24/02/2026,00000424.35,00000430.75,00000423.25,00000430.20,000000003152250,      336675555.00,           787050,              583,              570
FUTSTK    ,COALINDIA ,30/03/2026,00000427.75,00000433.00,00000427.75,00000432.70,000000000394200,       47123032.50,           109350,              081,              078
FUTSTK    ,COFORGE   ,27/01/2026,00001661.50,00001706.80,00001656.30,00001704.20,000000016384500,     6806689387.50,          4020000,            10720,             9012
FUTSTK    ,COFORGE   ,24/02/2026,00001665.20,00001711.80,00001663.90,00001709.50,000000000555375,      383709975.00,           226125,              603,              520
FUTSTK    ,COFORGE   ,30/03/2026,00001684.00,00001719.10,00001684.00,00001717.60,000000000049500,       72211087.50,            42375,              113,              096
FUTSTK    ,COLPAL    ,27/01/2026,00002100.10,00002109.70,00002067.60,00002081.30,000000006715800,     1117472310.00,           536175,             2383,             1962
FUTSTK    ,COLPAL    ,24/02/2026,00002115.90,00002119.50,00002078.00,00002090.80,000000000295200,      176479627.50,            84375,              375,              344
FUTSTK    ,COLPAL    ,30/03/2026,00002122.00,00002122.00,00002090.00,00002101.20,000000000039600,       51989175.00,            24750,              110,              103
FUTSTK    ,CONCOR    ,27/01/2026,00000529.60,00000535.25,00000529.30,00000534.05,000000032031250,     1212915750.00,          2277500,             1822,             1422
FUTSTK    ,CONCOR    ,24/02/2026,00000531.60,00000537.00,00000529.25,00000535.25,000000002868750,      282812875.00,           530000,              424,              294
FUTSTK    ,CONCOR    ,30/03/2026,00000533.95,00000538.90,00000532.90,00000538.35,000000000120000,       20820625.00,            38750,              031,              028
FUTSTK    ,CROMPTON  ,27/01/2026,00000261.00,00000266.50,00000260.45,00000264.10,000000053834400,     2062998900.00,          7826400,             4348,             3726
FUTSTK    ,CROMPTON  ,24/02/2026,00000263.50,00000267.75,00000262.40,00000265.60,000000002412000,      142189020.00,           536400,              298,              287
FUTSTK    ,CROMPTON  ,30/03/2026,00000267.60,00000269.10,00000264.55,00000267.50,000000000167400,       14400990.00,            54000,              030,              030
FUTSTK    ,CUMMINSIND,27/01/2026,00004135.00,00004190.10,00004135.00,00004167.20,000000003522400,     3546652600.00,           851800,             4259,             3828
FUTSTK    ,CUMMINSIND,24/02/2026,00004168.00,00004189.90,00004150.10,00004174.40,000000000074000,       97569120.00,            23400,              117,              109
